symbol,Name
ADANIENT.NS,Adani Enterprises
ADANIGREEN.NS,Adani Green Energy
ADANIPORTS.NS,Adani Ports
ASIANPAINT.NS,Asian Paints
AXISBANK.NS,Axis Bank
BAJAJ-AUTO.NS,Bajaj Auto
BAJFINANCE.NS,Bajaj Finance
BAJAJFINSV.NS,Bajaj Finserv
BHARTIARTL.NS,Bharti Airtel
BPCL.NS,Bharat Petroleum
BRITANNIA.NS,Britannia Industries
CIPLA.NS,Cipla
COALINDIA.NS,Coal India
DIVISLAB.NS,Divi's Laboratories
DRREDDY.NS,Dr. Reddy's Laboratories
EICHERMOT.NS,Eicher Motors
GRASIM.NS,Grasim Industries
HCLTECH.NS,HCL Technologies
HDFCBANK.NS,HDFC Bank
HDFCLIFE.NS,HDFC Life Insurance
HEROMOTOCO.NS,Hero MotoCorp
HINDALCO.NS,Hindalco Industries
HINDUNILVR.NS,Hindustan Unilever
ICICIBANK.NS,ICICI Bank
INDUSINDBK.NS,IndusInd Bank
INFY.NS,Infosys
ITC.NS,ITC
JSWSTEEL.NS,JSW Steel
KOTAKBANK.NS,Kotak Mahindra Bank
LT.NS,Larsen & Toubro
M&M.NS,Mahindra & Mahindra
MARUTI.NS,Maruti Suzuki
NESTLEIND.NS,Nestle India
NTPC.NS,NTPC
ONGC.NS,Oil & Natural Gas Corporation
POWERGRID.NS,Power Grid Corporation
RELIANCE.NS,Reliance Industries
SBILIFE.NS,SBI Life Insurance
SBIN.NS,State Bank of India
SUNPHARMA.NS,Sun Pharmaceutical
TATACONSUM.NS,Tata Consumer Products
TATAMOTORS.NS,Tata Motors
TATASTEEL.NS,Tata Steel
TCS.NS,Tata Consultancy Services
TECHM.NS,Tech Mahindra
TITAN.NS,Titan Company
ULTRACEMCO.NS,UltraTech Cement
UPL.NS,UPL
WIPRO.NS,Wipro
